57	24.09.2016			4	3	3	4	5	4	5	4	4	5	4	3	5	3	3	3	4	5	71	36	35
58	02.10.2016			4	4	5	4	5	4	4	4	4	4	4	3	6	4	4	4	3	4	74	38	36
59	02.10.2016			4	4	3	4	4	4	4	4	5	3	4	3	5	3	4	3	4	5	70	36	34
60	08.10.2016			4	4	3	4	5	4	6	3	4	4	5	4	5	4	5	4	5	4	77	37	40
61	14.10.2016			4	4	3	4	4	4	3	4	4	4	5	4	7	5	3	4	3	3	72	34	38
62	15.10.2016			4	4	3	4	4	4	4	4	5	4	5	4	6	3	4	4	3	5	74	36	38
63	16.10.2016			4	5	3	3	5	4	4	3	4	5	4	5	4	3	4	3	3	4	70	35	35
64	22.10.2016			5	5	3	4	4	4	4	3	5	5	5	4	5	3	4	4	4	4	75	37	38
65	29.10.2016			4	5	4	5	3	3	4	4	5	5	4	4	4	3	4	4	4	3	72	37	35
66	30.10.2016			3	5	3	3	4	4	4	4	6	5	4	4	5	3	4	3	3	4	71	36	35
67	12.11.2016			4	4	3	4	4	3	4	4	4	4	5	4	7	4	4	3	4	5	74	34	40
68	13.11.2016			4	5	4	5	4	3	4	3	6	4	5	4	4	4	3	4	5	4	75	38	37
69	20.11.2016			4	4	4	3	5	4	4	4	4	4	4	4	6	3	5	4	4	4	74	36	38
70	26.11.2016			4	3	4	4	3	4	4	4	5	6	7	4	6	3	3	3	3	4	74	35	39
71	26.11.2016			4	4	5	3	4	4	4	6	5	5	5	3	5	4	4	3	4	4	76	39	37
72	03.12.2016			3	3	4	3	4	4	4	5	4	5	5	4	6	4	5	4	4	4	75	34	41
73	04.12.2016	Buzzz		4	4	3	3	4	3	4	4	4	5	5	3	5	4	4	4	3	5	71	33	38
74	10.12.2016	Buzzz		5	4	4	4	5	6	5	4	4	4	5	4	4	3	4	4	4	4	77	41	36
75	10.12.2016	Buzzz		4	4	4	4	3	4	4	3	4	5	4	4	4	3	4	3	3	3	67	34	33
